PRODUCAO;jan;fev;mar;abr;maio;junho;julho;agos;set;out;nov;dez;TOTAL;

UNIVERSIDADE FEDERAL DE GOIAS;
Capitulos de livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso nacional;32;0;54;0;0;0;0;0;0;0;0;0;86;
Resumos expandidos nacionais;7;0;1;0;0;0;0;0;0;0;0;0;8;
Resumos em congressos nacionais;0;0;4;0;0;0;0;0;0;0;0;0;4;
Artigos completos publicados em periodicos internacionais;0;0;7;0;0;0;0;0;0;0;0;0;7;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;1;0;0;0;0;0;0;0;0;0;1;
Trabalhos completos publicados em anais de congresso internac.;0;0;3;0;0;0;0;0;0;0;0;0;3;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;1;0;2;0;0;0;0;0;0;0;0;0;3;

;
CIENCIAS HUMANAS;
periodicos nacionais;0;0;1;0;0;0;0;0;0;0;0;2;3;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;10;10;
Capitulos de livro nacional;0;0;4;0;0;0;0;0;0;0;0;9;13;
Trabalhos completos publicados em anais de congresso nacional;0;0;0;0;0;0;0;0;0;0;0;2;2;
Resumos expandidos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos nacionais;0;0;16;0;0;0;0;0;0;0;0;12;28;
Artigos completos publicados em periodicos internacionais;0;0;6;0;0;0;0;0;0;0;0;7;13;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;
CIENCIAS AGRARIAS;
periodicos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Artigos completos publicados em periodicos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos expandidos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;
